# {"t_start": 1552729570.8799193, "env_id": null} 
r,l,t
0.514987,26,210.977243
0.435083,30,211.211615
0.472873,23,211.388451
0.577227,25,211.732031
0.50002,18,211.871984
0.373177,17,212.003017
0.615909,31,212.242615
0.375854,55,212.651447
0.234512,20,212.804013
0.381934,23,212.983953
0.347606,20,213.131644
0.112269,14,213.249178
0.292192,28,213.466858
0.15136,29,213.669511
0.224056,19,213.811064
0.723743,27,214.130367
0.544799,59,214.856275
0.406149,31,215.337046
0.382568,35,215.596834
0.431605,19,215.74341
0.563048,34,216.195252
0.218468,17,216.420605
0.274838,27,216.667583
0.397548,52,217.223906
0.336553,16,217.382836
0.350559,25,217.696014
0.173286,21,218.006899
0.314808,20,218.274522
0.533871,45,218.790526
0.489846,27,219.170771
0.145387,15,219.333843
0.373155,33,219.59927
0.208725,18,219.81243
0.674744,33,220.190343
0.333553,36,220.593432
0.152586,20,220.838129
0.155249,26,221.02688
0.4784,28,221.309122
0.455155,25,221.495972
0.52729,21,221.641828
0.429078,28,222.200492
0.402122,46,222.611314
0.299651,22,222.870909
0.653471,24,223.10142
0.283113,29,223.425424
0.324212,47,224.05964
1.123821,36,224.418484
0.217153,21,224.566597
0.423012,33,224.886389
0.228205,14,225.091536
0.188501,24,225.387382
0.246809,37,225.720156
0.571178,30,225.991512
0.318237,25,226.192007
0.512547,30,226.552848
0.206876,18,226.780316
0.51441,25,227.10218
0.25086,33,227.500066
0.201704,23,227.767574
0.458479,26,228.172072
0.354021,19,228.387481
0.450291,28,228.75296
0.159128,24,229.052921
0.202955,20,229.304341
0.300403,32,229.701316
0.267085,35,230.063226
0.393088,24,230.332808
0.708758,33,230.707626
0.411018,35,231.124682
0.08439,36,231.545119
0.149578,26,231.908263
0.474952,24,232.206185
0.482384,25,232.533062
0.152948,35,232.903469
0.545122,28,233.158087
0.452647,23,233.329325
0.47907,31,233.806232
0.160044,27,234.021614
0.253563,38,234.305369
0.314143,22,234.481845
0.462244,16,234.600432
0.277649,21,234.74991
0.465544,27,234.955386
0.418448,45,235.279948
0.529765,28,235.495642
0.053315,38,235.767438
0.278655,32,236.009775
0.377094,20,236.1764
0.455685,27,236.408314
0.160162,34,236.652624
0.322299,32,236.972337
0.104633,28,237.323716
0.302964,24,237.604701
0.375266,26,237.80004
0.394011,49,238.204044
0.42527,30,238.424267
0.437261,46,238.756979
0.462304,41,239.047142
0.340133,37,239.311618
0.411261,24,239.485959
0.430043,27,239.676443
0.35214,20,239.821444
0.277218,34,240.083271
0.115638,20,240.231857
0.345544,30,240.449406
0.225153,29,240.654581
0.168541,20,240.799343
0.493405,21,240.947275
0.274978,28,241.150977
0.447575,37,241.412151
0.3678,39,241.842687
0.485272,24,242.028373
0.578577,25,242.221043
0.597101,37,242.491096
0.452326,37,242.75036
0.50721,33,242.980011
0.100108,40,243.27051
0.531196,32,243.504611
0.347872,25,243.682184
0.193419,19,243.824361
0.37657,25,244.005311
0.7484,41,244.334224
0.2912,25,244.580178
0.41848,33,244.816442
0.357835,35,245.124754
0.272285,44,245.494993
0.567388,22,245.666068
0.367367,20,245.853949
0.289445,24,246.043981
0.386092,54,246.507869
0.296572,24,246.680571
0.439702,37,246.944498
0.628914,28,247.205643
0.671725,35,247.463831
0.288183,33,247.715756
0.391692,45,248.08933
0.215884,25,248.277406
0.213489,19,248.415681
0.404282,38,248.689426
0.361083,33,248.933949
0.246408,26,249.131767
0.26794,15,249.238059
0.307903,18,249.382494
0.400601,31,249.594858
0.383583,23,249.930557
0.410495,28,250.136792
0.654148,24,250.321075
0.429986,26,250.514371
0.52062,16,250.630307
0.246409,44,250.954558
0.457782,37,251.213026
0.235277,28,251.425343
0.487535,17,251.54421
0.34391,35,251.793307
0.454785,20,251.951133
0.358878,20,252.10007
0.307755,55,252.504238
0.571094,33,252.73235
0.249672,18,252.872113
0.30343,35,253.121261
0.147736,29,253.337839
0.435583,29,253.545256
0.11907,24,253.7197
0.343996,27,253.919009
0.379464,38,254.194434
0.377132,25,254.384515
0.089704,18,254.515206
0.369743,26,254.701592
0.393776,25,254.889307
0.642798,35,255.144414
0.391444,27,255.343919
0.377654,19,255.481313
0.624901,37,255.736918
0.266883,18,255.878916
0.819866,36,256.155737
0.501577,23,256.325777
0.176286,20,256.475104
0.246468,22,256.633982
0.625053,36,256.902936
0.638664,18,257.039461
0.435396,21,257.186063
0.205415,21,257.341652
0.393288,25,257.686247
0.420183,33,257.92791
0.543163,32,258.174588
