# {"env_id": null, "t_start": 1552797576.7086205} 
r,l,t
2.257618,17,332.372179
1.078103,7,332.475305
1.995966,20,332.740173
1.51965,19,332.990864
2.429579,27,333.34679
2.562572,30,333.745914
2.159768,16,333.961375
1.346573,23,334.265188
0.752443,30,334.664307
2.170672,21,334.942105
2.083331,16,335.155851
1.239093,15,335.358788
2.694641,41,335.963348
2.421062,27,336.322233
1.955369,14,336.519789
1.267782,23,336.828151
1.81926,41,337.373096
2.226877,15,337.579049
1.880501,31,337.994407
1.772404,19,338.249835
1.916693,41,338.798357
2.017078,30,339.261674
2.533919,46,339.887759
1.773147,12,340.052187
2.494185,40,340.588104
1.937241,19,340.845243
1.686286,19,341.101744
2.805354,20,341.373541
2.099779,43,341.952593
2.584162,21,342.237216
2.787293,33,342.686615
1.943269,20,343.022787
1.908646,15,343.227074
2.540664,34,343.757459
1.89038,20,344.027219
2.453452,30,344.433885
3.242356,26,344.791674
2.066056,17,345.021191
1.228892,39,345.544323
2.100364,26,345.895273
2.918743,37,346.462727
2.255044,28,346.841011
2.260953,27,347.206053
2.829236,37,347.703202
2.850095,45,348.303933
2.009158,40,348.839897
1.681072,27,349.202582
1.128294,20,349.476765
3.479171,37,350.304396
2.016669,40,351.330931
2.362653,31,351.942199
2.076902,16,352.321529
1.805393,12,352.662835
2.086906,39,353.456306
1.456616,26,353.872264
1.882965,31,354.321855
1.74217,39,354.882981
1.780973,23,355.278565
1.667343,13,355.482925
2.790275,42,356.071209
1.974691,13,356.358826
2.46621,23,356.804855
1.612945,26,357.19946
2.484833,40,357.745103
2.784873,36,358.2591
2.071915,43,358.880665
2.525165,37,359.491355
1.811427,18,359.762327
2.674168,32,360.227087
1.722101,17,360.473966
1.747983,18,360.735921
1.697544,28,361.129056
3.004812,33,361.605168
2.395058,42,362.199268
1.764628,44,362.922018
1.628607,16,363.146567
1.713745,43,363.723423
0.852234,35,364.214692
2.048769,27,364.591624
2.24086,15,364.806366
2.535788,17,365.044163
2.851932,44,365.655061
3.014082,29,366.357132
1.834954,42,367.14424
2.487917,19,367.519978
2.404587,38,368.113723
2.329731,36,368.918693
2.511099,46,369.927195
2.659719,42,370.767793
1.566503,7,370.891583
2.115191,25,371.358246
3.30185,41,372.192182
2.460206,28,372.676227
1.320341,23,373.040677
2.666391,27,373.510113
2.432928,18,373.81477
2.09158,23,374.172552
1.442778,25,374.577327
1.570409,15,374.7863
0.921247,28,375.176827
2.448645,18,375.46971
2.034172,19,375.749922
2.451296,40,376.423127
2.474719,17,376.673705
1.770711,43,377.287418
2.943699,35,377.796506
2.859175,37,378.318119
2.087455,18,378.577951
3.495211,28,378.988315
1.728574,54,379.800786
1.704001,33,380.345816
2.438922,31,380.918396
1.778872,50,381.675671
2.972837,42,382.256153
1.796604,35,382.748206
2.154419,29,383.188975
2.440183,18,383.448488
1.588164,20,383.784457
2.476232,43,384.424875
0.164127,34,384.971273
2.203681,14,385.282803
1.219674,10,385.427179
2.600083,42,385.996719
2.147298,15,386.20132
2.10528,39,386.79844
2.257564,35,387.318114
0.165357,36,387.902425
2.783794,35,388.43196
0.150293,28,388.828721
2.757057,43,389.566836
2.310342,39,390.144168
2.095606,49,390.862223
1.516821,10,391.019111
2.044792,17,391.275527
2.071418,41,391.946557
2.654625,43,392.579139
1.62811,38,393.119634
1.885214,16,393.333605
3.694792,37,394.051479
1.648367,41,394.855045
2.530186,18,395.100703
3.112225,37,395.622559
1.802944,43,396.306611
1.799843,20,396.756663
2.545171,29,397.201511
2.775483,43,397.791451
2.239672,48,398.610369
2.379624,46,399.282204
2.542512,41,399.962782
2.999534,41,400.58544
1.827423,15,400.807278
2.110092,19,401.065975
2.669485,41,401.685936
1.766592,21,401.986056
2.454718,31,402.410247
2.198008,45,403.317012
3.01187,55,404.350821
2.053338,40,405.157268
1.450247,26,405.749965
2.642998,44,406.377303
2.666269,22,406.727689
1.679006,12,406.928328
2.111319,22,407.323555
1.792537,14,407.545471
2.523046,25,407.939239
1.103059,23,408.273025
1.517377,22,408.690708
1.773316,13,408.876916
2.034988,21,409.180167
2.58021,36,409.710205
2.573575,26,410.08547
2.361854,40,410.665411
2.474412,46,411.376586
1.849946,9,411.528819
1.630223,25,412.050304
1.24576,23,412.536087
2.280753,44,413.256287
2.560993,21,413.55447
2.911022,25,413.898791
1.566476,18,414.153519
1.139748,13,414.335151
2.075858,18,414.599889
3.518144,29,415.008277
2.019192,37,415.56107
2.567531,43,416.222952
1.987362,23,416.693896
2.477801,45,417.362721
2.74979,35,417.877213
3.210655,37,418.468023
2.459673,28,418.892438
2.140869,40,419.480057
1.851469,14,419.676563
2.320068,37,420.217133
1.231254,11,420.448249
3.513374,38,421.155309
1.796589,43,421.928452
2.157588,45,422.581336
2.409962,41,423.154307
2.009807,24,423.525434
2.086773,25,423.860933
0.190984,28,424.249186
1.832381,21,424.614398
1.644312,18,424.869456
2.045343,39,425.40796
2.582339,36,425.909181
2.169842,42,426.480149
2.007995,39,427.011035
2.112024,23,427.322467
1.140155,5,427.399924
1.966522,40,427.972084
1.704465,25,428.392228
2.261708,43,429.03315
2.079392,41,429.60041
3.077073,38,430.156595
1.739628,12,430.325846
1.589247,17,430.572563
2.069846,24,430.926282
1.924851,19,431.194215
2.029817,20,431.502168
2.534247,27,431.948018
2.450993,16,432.179624
2.595393,37,432.715693
2.48559,37,433.251945
0.922913,21,433.568799
2.034043,24,433.905729
2.098407,44,434.50389
1.493245,12,434.732863
3.471211,40,435.347795
2.170602,45,436.073404
2.383933,45,436.705576
3.050757,28,437.123444
1.506044,17,437.364826
2.648327,40,437.942879
2.160033,38,438.511856
2.44364,42,439.11818
3.146753,37,439.693769
1.905106,20,439.973183
3.80367,40,440.524172
1.14823,24,440.855965
2.065446,30,441.257962
2.058916,17,441.492037
2.60534,32,441.921709
1.501399,16,442.14822
2.054336,24,442.480065
2.931566,41,443.144248
2.482864,20,443.425062
0.885874,23,443.8021
2.768144,29,444.205762
2.242385,32,444.679238
1.895398,13,444.860131
1.879818,27,445.240001
2.394255,36,445.760653
1.900789,26,446.133486
2.426403,15,446.350918
2.361871,33,446.900019
1.837256,49,447.646913
2.379807,20,447.952882
1.253459,34,448.440758
1.983446,42,449.042663
2.492222,44,449.645236
2.22486,25,449.995264
2.860403,48,450.760168
1.766656,15,450.982211
2.300848,23,451.297725
0.155697,30,451.709898
0.848858,33,452.155821
2.088426,19,452.411646
2.044265,23,452.741547
2.584095,22,453.049592
2.71409,39,453.618226
1.735716,14,453.834272
0.467066,28,454.282235
3.271034,32,454.738692
1.916568,24,455.107769
2.452862,20,455.389859
2.401809,40,455.937387
2.566421,40,456.523121
2.707233,43,457.143572
1.426732,24,457.486574
2.300725,47,458.202849
2.07009,16,458.423017
2.340398,20,458.711417
1.471205,15,458.920771
2.24588,38,459.443562
2.84358,44,460.055784
2.428815,40,460.605592
2.03261,29,461.005991
0.174929,35,461.553326
1.319454,24,461.968452
1.566596,36,462.480766
2.618058,40,463.062914
2.706556,41,463.639699
1.945444,16,463.864455
1.647823,11,464.020484
1.953307,43,464.619732
2.083823,31,465.060686
2.585599,39,465.707764
2.791758,42,466.311702
2.754602,37,466.833284
1.81318,16,467.060736
2.477057,40,467.630162
2.469947,43,468.281321
2.476351,29,468.68381
1.653176,27,469.075195
2.042754,39,469.69575
2.661562,34,470.246743
2.7879,26,470.659151
0.822029,18,470.943611
1.292615,25,471.291027
2.331256,11,471.468057
1.304301,17,471.721043
2.3565,22,472.025084
2.24187,17,472.266819
2.186475,17,472.505086
2.088172,44,473.208647
2.345041,22,473.509214
2.385241,47,474.133294
2.205522,21,474.420736
1.897759,31,474.866087
2.582438,44,475.451571
2.351915,37,475.942374
2.317015,19,476.19753
2.84446,15,476.402763
2.397623,32,476.898108
1.996565,18,477.143902
2.236928,22,477.446775
2.105181,40,477.985185
2.334014,18,478.23198
1.899636,14,478.428206
2.433014,31,478.910248
2.088814,24,479.238498
2.346255,38,479.748063
2.386695,45,480.42021
2.421403,40,480.960554
1.181305,24,481.28607
1.967645,16,481.506053
3.300396,34,481.962485
1.193934,23,482.27113
2.713542,43,482.850843
1.50258,11,483.003682
1.511495,9,483.129462
2.31465,21,483.41291
2.136207,27,483.842649
1.452702,45,484.450283
2.801587,24,484.770796
1.224649,23,485.081616
1.894663,18,485.323704
2.38874,36,485.817739
1.813296,38,486.339064
2.159038,38,486.862126
2.206356,22,487.167356
2.089629,23,487.561055
2.131349,26,487.918775
2.557771,36,488.4192
2.778237,41,488.988775
2.393167,45,489.609333
1.787347,37,490.113462
2.444357,43,490.714558
2.146165,42,491.368693
2.031318,28,491.760313
1.576621,41,492.31484
3.029706,39,492.855429
2.799358,30,493.267992
1.665161,15,493.47889
0.510652,37,493.9943
2.638766,37,494.568249
1.77257,16,494.795029
1.569364,36,495.291066
0.163361,34,495.759935
2.523035,38,496.275033
2.357111,43,496.855239
2.901314,37,497.372985
3.139575,40,497.923683
3.275195,24,498.329917
1.97999,37,498.848034
1.786989,22,499.155874
3.000633,43,499.751373
2.22887,30,500.167177
2.889471,40,500.720009
2.014564,36,501.219767
2.095234,18,501.468843
2.406889,45,502.137269
2.304188,33,502.613591
2.257696,24,502.946027
2.693541,45,503.544389
1.46699,21,503.825322
2.911104,38,504.34656
