EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
6,2.4695393133122443,0.013333257,5090,8684.604696512222,35.375,170535,0.5291658,0.0,38.15685,0.871009573340416,0.5291658
6,2.5946580071820855,0.013512617,5096,8697.517722129822,37.85,170790,0.58779496,0.0,38.156143,0.8861444294452667,0.58779496
7,2.6231626733982543,0.0039544897,5103,8710.089620351791,36.05,171030,0.20185396,0.0,38.15626,0.9637616351246834,0.20185396
6,2.6190107180702205,0.01250791,5109,8722.973878622055,35.7,171269,0.52113795,0.0,38.155407,0.9056540280580521,0.52113795
7,2.5879659893246716,0.013616971,5116,8735.984814405441,35.075,171494,0.7529396,0.0,38.15539,0.8990153893828392,0.7529396
7,2.716906579423738,0.0039730193,5123,8749.020352840424,37.05,171755,0.31705377,0.0,38.156376,0.8991020545363426,0.31705377
6,2.712855586075544,0.013274755,5129,8761.868256568909,38.325,172017,0.61035675,0.0,38.155228,0.9014949426054955,0.61035675
8,2.486490773243928,0.0047948784,5137,8774.791385173798,36.575,172287,0.16777526,0.0,38.154797,0.8888989090919495,0.16777526
7,2.541393593038672,0.014596736,5144,8787.765243053436,37.05,172526,0.33309224,0.0,38.154613,0.8588457852602005,0.33309224
7,2.636862358178155,0.014630637,5151,8800.804808855057,35.775,172767,0.47505456,0.0,38.153446,0.9358393400907516,0.47505456
8,2.5627095541392206,0.013389719,5159,8813.667683124542,35.625,173021,0.56371343,0.0,38.15206,0.7624481171369553,0.56371343
7,2.5448103511020115,0.013524427,5166,8826.655223846436,34.925,173300,0.4569949,0.0,38.1515,0.9196010604500771,0.4569949
7,2.7626430519197824,0.014053304,5173,8839.724031209946,35.375,173540,0.39600423,0.0,38.150833,0.921181708574295,0.39600423
7,2.7821334292084385,0.014349555,5180,8852.823256731033,35.325,173805,0.429933,0.0,38.14891,0.9448704533278942,0.429933
