# {"env_id": null, "t_start": 1553348844.0599759} 
r,l,t
2.283574,34,294.576948
2.033352,44,294.942831
2.431829,98,295.776911
2.378966,37,296.110054
1.741613,24,296.31324
2.068321,38,296.972016
1.982811,35,297.258322
1.956464,31,297.513671
0.987112,42,297.867591
1.552201,33,298.141228
1.900343,51,298.560531
1.789954,49,299.419245
1.247581,62,299.932796
1.865836,45,300.292899
0.752586,52,300.725244
0.57482,44,301.087477
1.680836,47,301.865717
0.299148,54,302.314899
1.587011,37,302.621264
1.125919,34,302.90391
2.157333,69,303.459534
1.402296,52,303.896631
1.936956,31,304.553543
2.339668,48,304.952597
2.95753,64,305.489075
2.55154,63,306.000809
2.345648,42,306.353861
2.196642,54,307.198257
1.597984,26,307.418038
1.742409,59,307.901358
2.044704,55,308.347616
1.466353,40,308.680418
1.850808,61,309.6442
2.457343,39,309.96193
2.677879,38,310.277046
1.715902,32,310.544056
1.693602,41,310.884516
0.14672,52,311.323288
1.761065,48,312.129493
0.526402,57,312.59629
1.24127,19,312.750679
1.369096,33,313.017241
2.350811,37,313.319278
2.28827,65,313.858675
0.090738,47,314.617554
2.06513,32,314.886054
0.140471,46,315.266627
1.595518,26,315.486079
2.498439,66,316.029611
2.409437,59,316.507018
0.674794,75,317.483189
1.451322,33,317.753411
1.065516,25,317.955296
2.099898,54,318.397466
2.365412,36,318.699601
0.752317,43,319.444178
2.406104,57,319.906731
2.303663,50,320.319361
1.672329,32,320.584255
3.089796,77,321.213604
1.380983,26,321.431995
0.724911,45,322.249867
1.599657,61,322.748035
1.752506,33,323.019058
2.210818,34,323.307615
1.538582,54,323.752506
2.249583,46,324.608751
1.857291,46,324.990824
0.68601,43,325.340926
1.872931,56,325.807502
3.128797,58,326.29039
1.364887,61,327.143916
2.239603,58,327.630146
2.039201,53,328.06301
2.310579,41,328.395144
1.785047,32,328.662608
0.561273,67,329.592014
2.809038,49,329.985924
2.706539,101,330.838483
1.247966,28,331.066754
1.194751,44,331.424929
1.38455,42,332.375839
2.141842,36,332.674833
1.55025,33,332.945183
1.04051,32,333.211009
1.279234,50,333.62389
1.578957,35,333.909794
2.076683,37,334.211567
2.884203,54,335.193852
2.864292,45,335.560221
1.701477,42,335.907637
1.869067,38,336.228165
1.944187,30,336.481341
1.691464,51,336.899861
2.182696,48,337.757498
1.42413,48,338.155297
1.69753,45,338.52417
1.847122,43,338.877342
0.644055,42,339.224935
2.061985,37,339.526961
1.833569,31,340.169149
2.21599,49,340.564495
1.424656,37,340.865177
1.026962,39,341.181768
1.710929,29,341.421638
1.933408,30,341.674978
1.920756,59,342.574394
1.999063,84,343.273064
1.444879,27,343.495755
